,category,Label,Category
397,Engine Repair [General] in Yangon,5,Service
398,Engineering Consultancy Services in Yangon,5,Service
399,Engineering Courses in Yangon,5,Education
400,Engineering Process Control/Instrumentation & Automation in Yangon,5,Industrial
401,Engineers [General] in Yangon,5,Association
402,Engines & Parts Sales in Yangon,5,Automotive
403,Entertainers in Yangon,5,Entertainment
404,Entertainment Services in Yangon,5,Service
405,Entrance Tuition in Yangon,5,Education
406,Event Management/Organisers & Ceremony Services  in Yangon,42,Service
407,Exhibition Services in Yangon,91,Service
408,Export & Import Companies in Yangon,30,Service
409,Eye Clinics in Yangon,98,Health & Medicine
410,Fabric Shops in Yangon,22,Apparel
411,Fancy Stores in Yangon,6,Merchant
412,Fans [Hand] Yat Taung in Yangon,15,Utility
413,Farms & Livestock Services in Yangon,6,Service
414,Fashion Designer Schools in Yangon,88,Education
415,Fashion Shops in Yangon,5,Apparel
416,Fence/Gate & Barrier Suppliers in Yangon,40,Equipment & Supplies
417,Fertilizers in Yangon,70,Agriculture
418,Fibre Optic & Communication Services in Yangon,7,Service
419,Fibre Sheets & Fibreglasses in Yangon,53,Equipment & Supplies
420,Filling Stations in Yangon,89,Government
421,Fire Extinguisher Refill Services in Yangon,50,Service
422,Fire Extinguishers & Fire Fighting Equipment in Yangon,42,Equipment & Supplies
423,Fire Stations in Yangon,98,Government
424,Fish & Prawn Crackers in Yangon,7,Food
425,Fish & Seafood Wholesalers in Yangon,10,Food
426,Fish Gravy/Fish Paste & Other in Yangon,10,Food
427,Fish Markets in Yangon,44,Food
428,Fish/Crab & Prawn Farming Camps in Yangon,22,Agriculture
429,Fisheries in Yangon,8,Agriculture
430,Fishing & Angling Equipment in Yangon,27,Equipment & Supplies
431,Fitness & Gym Equipment in Yangon,11,Equipment & Supplies
432,Fitness Centres & Gyms in Yangon,81,Sport & Wellness
433,Flowers & Florists in Yangon,44,Garden
434,Flowers & Shrubs [Artificial] in Yangon,73,Garden
435,Foam Products in Yangon,27,Equipment & Supplies
436,Food Flavours in Yangon,44,Food
437,Food Stalls [BBQ/Hot Pot] in Yangon,70,Dining
438,Food Stalls [Burger/Fried Chicken] in Yangon,39,Dining
439,Food Stalls [Chicken Rice] in Yangon,39,Dining
440,Food Stalls [Chin Traditional] in Yangon,63,Dining
441,Food Stalls [Halal] in Yangon,6,Dining
442,Food Stalls [Ka Chin Traditional] in Yangon,84,Dining
443,Food Stalls [Kyae Oh & Si Chat] in Yangon,84,Dining
444,Food Stalls [Mohinga & Mohti] in Yangon,84,Dining
445,Food Stalls [Myanmar Traditional] in Yangon,84,Dining
446,Food Stalls [Myeik Traditional] in Yangon,55,Dining
447,Food Stalls [Pizza] in Yangon,59,Dining
448,Food Stalls [Rakhine Traditional] in Yangon,59,Dining
449,Food Stalls [Shan Traditional] in Yangon,59,Dining
450,Food Stalls in Yangon,59,Dining
451,Food Technology Training Centres in Yangon,59,Education
452,Foodstuffs in Yangon,54,Food
453,Foreign News Agencies in Yangon,28,Agency
454,Forest Plantations in Yangon,8,Agriculture
455,Forklifts in Yangon,22,Equipment & Supplies
456,Formica in Yangon,8,Home
457,Fragrances in Yangon,40,Cosmetic
458,Framing Services [Picture/Photo] in Yangon,8,Service
459,Freight Forwarders in Yangon,22,Service
460,Frozen Food in Yangon,58,Food
461,Fruit Sellers in Yangon,7,Food
462,Funeral Services in Yangon,22,Service
463,Furniture Marts in Yangon,8,Merchant
464,Galvanized Iron Sheets  in Yangon,63,Equipment & Supplies
465,Game Centres in Yangon,35,Entertainment
466,Garden Centres & Nurseries in Yangon,19,Garden
467,Garden Equipment & Supplies in Yangon,7,Equipment & Supplies
468,Gardens & Parks in Yangon,58,Garden
469,Garment Industries in Yangon,62,Manufacturing
470,Gas [Manu] [Industrial/Medical] in Yangon,22,Chemical
471,Gas Cookers & Accessories in Yangon,58,Home
472,Gas Piping Installation & Consultancy in Yangon,24,Service
473,Gasket Services in Yangon,78,Service
474,Gate Automation Systems & Equipment in Yangon,71,Equipment & Supplies
475,Gear Pinion Repair in Yangon,78,Sales & Repair
476,Gemmological Institutes in Yangon,78,Organization
477,Gems in Yangon,78,Jewellery
478,Gems Testing in Yangon,45,Jewellery
479,Gemstone Pictures in Yangon,45,Entertainment
480,Generators & Transformers Sales/Services & Rental in Yangon,45,Equipment & Supplies
481,Geo Engineering Consultancies in Yangon,22,Service
482,Gift Shops in Yangon,71,Merchant
483,Glass Mosaic & Gold Leaf Gilding Services in Yangon,58,Service
484,Glass Plates & Mirrors in Yangon,71,Equipment & Supplies
485,Gloves in Yangon,7,Accessories
486,Glue [Manu/Dist] in Yangon,71,Manufacturing
487,Gold & Silver Weighing Services in Yangon,10,Service
488,Gold Leaf Gilding Services in Yangon,32,Service
489,Gold Shops/Goldsmiths in Yangon,32,jewellery
490,Gold Training Centres in Yangon,32,Education
491,Goldsmith Tools in Yangon,32,Equipment & Supplies
492,Golf Cars & Carts in Yangon,32,Automotive
493,Golf Course Construction in Yangon,65,Construction
494,Golf Courses & Clubs in Yangon,74,Entertainment
495,Golf Driving Ranges in Yangon,54,Entertainment
496,Golf Equipment in Yangon,3,Sport & Wellness
497,Grinding Mills in Yangon,86,Equipment & Supplies
498,Groceries in Yangon,42,Food
499,Guest Houses in Yangon,42,Travel
500,Gynaecologists in Yangon,71,Health & Medicine
501,Hair Care Products in Yangon,15,Cosmetic
502,Hair Cream & Hair Oil in Yangon,44,Cosmetic
503,Hair Dealers in Yangon,39,Beauty
504,Hairdressers in Yangon,58,Beauty
505,Halls for Hire in Yangon,39,Service
506,Handicraft Materials in Yangon,30,Equipment & Supplies
507,Hangers in Yangon,35,Utility
508,Hardware Merchants & Ironmongers in Yangon,77,Merchant
509,Hat Shops in Yangon,11,Apparel
510,Health Centres in Yangon,30,Health & Medicine
511,Hearing Aids in Yangon,30,Health & Medicine
512,Heavy Machineries & Equipment in Yangon,22,Equipment & Supplies
513,Helicopter Hires in Yangon,18,Transport
514,Hindu Temples in Yangon,12,Religion
515,Holograms in Yangon,53,Equipment & Supplies
516,Home for Aged People in Yangon,53,Organization
517,Honey in Yangon,53,Food
518,Hospital Equipment & Supplies in Yangon,44,Health & Medicine
519,Hospitality Training Centres in Yangon,18,Education
520,Hospitals [Govt.] in Yangon,22,Health & Medicine
521,Hospitals [Overseas Office] in Yangon,22,Health & Medicine
522,Hospitals [Private] in Yangon,28,Health & Medicine
523,Hostels [Day Special Classes] in Yangon,24,Travel
524,Hostels [Foreigner] in Yangon,4,Travel
525,Hostels [Private] in Yangon,4,Travel
526,Hot-air Balloon Riding Services in Yangon,4,Service
527,Hotel Equipment & Suppliers in Yangon,4,Equipment & Supplies
528,Hotel Management Consultancies in Yangon,97,Equipment & Supplies
529,Hotels in Yangon,22,Travel
530,Household Goods & Accessories in Yangon,9,Home
531,Housing Estates & Condos in Yangon,74,Real Estate
532,Hydraulic Equipment & Oil in Yangon,22,Equipment & Supplies
533,Ice Cream Cups in Yangon,55,Equipment & Supplies
534,Ice Cream in Yangon,44,Food
535,Ice Factories in Yangon,42,Manufacturing
536,Ice Lollies in Yangon,63,Food
537,Ice Merchants in Yangon,22,Merchant
538,Ice Sculptors in Yangon,67,Service
539,Incense Sticks & Incense Blocks in Yangon,6,Miscellaneous
540,Indian Curry Powder Mills in Yangon,98,Food
541,Indigenous Medicinal Ingredients [Palahsei] in Yangon,77,Health & Medicine
542,Indigo [Manu/Dist] in Yangon,77,Manufacturing
543,Industrial Constructors/Equipment & Supplies in Yangon,77,Construction
544,Industrial Zones in Yangon,77,Industrial
545,Inns in Yangon,77,Travel
546,Insecticides in Yangon,55,Miscellaneous
547,Inspection Services in Yangon,55,Service
548,Insulation Materials in Yangon,55,Construction
549,Insurance Agents in Yangon,22,Agency
550,Interior Decoration Materials & Services in Yangon,18,Construction
551,International Call Providers in Yangon,7,Telecommunication
552,International Education Centres in Yangon,63,Education
553,International Schools in Yangon,46,Education
554,International Universities & Colleges in Yangon,33,Education
555,Internet Advertising Agencies in Yangon,22,Agency
556,Internet Service Providers in Yangon,27,Service
557,Inverters in Yangon,8,Equipment & Supplies
558,Investment Companies in Yangon,24,Finance
559,Invitation Card Printing Services in Yangon,8,Service
560,Iron Casting [Raw Material] in Yangon,63,Service
561,Iron Casting Services in Yangon,22,Service
562,Iron Nets [Wire Mesh] in Yangon,42,Equipment & Supplies
563,ISO Certification Body Services in Yangon,22,Service
564,IT Companies in Yangon,22,Service
565,Jades in Yangon,7,Jewellery
566,Jams [Manu/Dist] in Yangon,7,Food
567,Jeans Stores in Yangon,8,Apparel
568,Jellies in Yangon,22,Food
569,Jewellery Accessories in Yangon,57,Jewellery
570,Jewellery Hires in Yangon,8,Jewellery
571,Jewellery Polishing in Yangon,51,Jewellery
572,Jewellery Shops in Yangon,37,Jewellery
573,Journals in Yangon,8,Media
574,Ka Nu Ka Mar in Yangon,22,Construction
575,Karaoke [KTV] in Yangon,22,Entertainment
576,Kitchen Appliances in Yangon,68,Home
577,Kitchenwares in Yangon,18,Home
578,Labelling & Identification Machines in Yangon,18,Equipment & Supplies
579,Laboratories in Yangon,28,Health & Medicine
580,Laboratory Equipment & Supplies in Yangon,67,Equipment & Supplies
581,Laces in Yangon,40,Apparel
582,Lacquerwares in Yangon,44,Equipment & Supplies
583,Ladies Wear in Yangon,24,Apparel
584,Laminated Flooring in Yangon,56,Construction
585,Landscaping in Yangon,39,Construction
586,Language Schools [Chinese] in Yangon,84,Education
587,Language Schools [English] in Yangon,30,Education
588,Language Schools [Japanese] in Yangon,87,Education
589,Language Schools [Korea] in Yangon,87,Education
590,Language Schools in Yangon,91,Education
591,Laser Cutting Machines in Yangon,91,Education
592,Lathe Machine Tools in Yangon,2,Industrial
593,Lathe Machine Workshops in Yangon,67,Service
594,Laundries in Yangon,39,Equipment & Supplies
595,Law Firms in Yangon,39,Agency
596,Leather Goods Shops in Yangon,52,Accessories
597,Leather Workshops in Yangon,23,Miscellaneous
598,LED Display Sales & Services in Yangon,40,Equipment & Supplies
599,Libraries in Yangon,58,Entertainment
600,Lifts & Escalators in Yangon,18,Construction
601,Lighting & Equipment in Yangon,38,Equipment & Supplies
602,Lightning Protection & Grounding Systems in Yangon,38,Equipment & Supplies
603,Lime in Yangon,38,Food
604,Liquor Houses in Yangon,38,Food
605,Locks in Yangon,30,Miscellaneous
606,Locksmiths in Yangon,22,Miscellaneous
607,Logistics Services in Yangon,13,Service
608,Longyis in Yangon,58,Apparel
609,Lotteries in Yangon,75,Government
610,Machinery & Spare Parts Dealers in Yangon,75,Equipment & Supplies
611,Machinery & Spare Parts Recovery Process in Yangon,75,Equipment & Supplies
612,Magazine Publishers in Yangon,71,Media
613,Magicians in Yangon,73,Entertainment
614,Make-up Artists in Yangon,41,Beauty
615,Map Publishers in Yangon,8,Publisher
616,Marine & Aviation Fuel  in Yangon,41,Chemical
617,Marine Equipment in Yangon,41,Equipment & Supplies
618,Marine Products in Yangon,41,Equipment & Supplies
619,Marionette Troupes in Yangon,22,Entertainment
620,Marionettes  in Yangon,58,Entertainment
621,Maritime Training Centres in Yangon,33,Education
622,Market Research in Yangon,50,Service
623,Marketing Companies in Yangon,30,Service
624,Markets & Bazaars in Yangon,31,Merchant
625,Maternity Wears in Yangon,73,Apparel
626,Meal Delivery Services in Yangon,46,Service
627,Measuring Instruments in Yangon,62,Equipment & Supplies
628,Meats in Yangon,58,Food
629,Mechanic Training Centres in Yangon,9,Education
630,Mechanized Gold Cutting in Yangon,67,Service
631,Medal Makers in Yangon,22,Manufacturing
632,Media Training Centres in Yangon,58,Education
633,Medical Equipment in Yangon,76,Health & Medicine
634,Medicine Training Centres in Yangon,30,Education
635,Medicines [Wholesale] in Yangon,3,Health & Medicine
636,Medicines in Yangon,3,Health & Medicine
637,Melamine Wares in Yangon,22,Equipment & Supplies
638,Men's Wear Shops in Yangon,50,Apparel
639,Metal Doors & Others in Yangon,22,Equipment & Supplies
640,Metal Trunks in Yangon,22,Equipment & Supplies
641,Meters Equipment & Services in Yangon,61,Equipment & Supplies
642,Microfinance Banks in Yangon,10,Finance
643,Milk in Yangon,10,Food
644,Mini Markets in Yangon,10,Merchant
645,Mining Companies in Yangon,94,Service
646,Mobile Banking in Yangon,94,Finance
647,Mobile Phone Repairing & Services in Yangon,94,Sales & Repair
648,Mobile Phones & Accessories in Yangon,12,Computer & Electronics
649,Mobile Training Centres in Yangon,28,Education
650,Model Agencies in Yangon,44,Agency
651,Mohinga & Mohti [Rice Paste] in Yangon,7,Food
652,Monastery & Meditation Centres in Yangon,98,Religion
653,Money Changers in Yangon,30,Finance
654,Mosquito Nets in Yangon,52,Miscellaneous
655,Mosquito Repellent in Yangon,39,Equipment & Supplies
656,Mosquito Screens in Yangon,22,Equipment & Supplies
657,Motels in Yangon,6,Travel
658,Motion Picture Producers in Yangon,65,Media
659,Motorcycle Accessories & Parts in Yangon,42,Automotive
660,Motorcycle Dealers in Yangon,6,Automotive
661,Motorcycle Helmets  in Yangon,8,Automotive
662,Motorcycle Repair in Yangon,54,Automotive
663,Motorcycle Servicings in Yangon,76,Automotive
664,Moulding Services in Yangon,22,Service
665,Moving Services in Yangon,6,Service
666,Museums in Yangon,92,Art
667,Mushroom Nurseries in Yangon,81,Agriculture
668,Music Agencies in Yangon,15,Agency
669,Music Classes in Yangon,44,Education
670,Music Production in Yangon,99,Media
671,Musical Instruments in Yangon,99,Merchant
672,Muslim Temples in Yangon,10,Religion
673,Myanmar Orchestras in Yangon,18,Entertainment
674,Nail Salons in Yangon,18,Beauty
675,National Dresses & Traditional Dresses in Yangon,93,Apparel
676,Neons in Yangon,12,Equipment & Supplies
677,New Code in Yangon,73,Miscellaneous
678,Newspapers in Yangon,55,Media
679,NGOs in Yangon,55,Organization
680,Noodles & Vermicelli [Assorted] in Yangon,57,Food
681,Noodles & Vermicelli [Instant] [Manu/Dist] in Yangon,46,Food
682,Nurse-Aid Training Centres in Yangon,73,Education
683,Nurseries in Yangon,40,Education
684,Office Equipment  in Yangon,58,Equipment & Supplies
685,Office Furnitures in Yangon,42,Merchant
686,Office Rentals in Yangon,22,Office
687,Oil & Gas Companies in Yangon,31,Chemical
688,Oil & Gas Drilling Companies in Yangon,25,Service
689,Oil & Mining Equipment in Yangon,39,Equipment & Supplies
690,Oil Dregs in Yangon,74,Equipment & Supplies
691,Oil Field Catering Supplies & Services in Yangon,39,Equipment & Supplies
692,Olives & Olive Oil in Yangon,74,Food
693,Online Billing & Payment Services in Yangon,39,Equipment & Supplies
694,Online Stores in Yangon,74,Merchant
695,Optical Equipment in Yangon,74,Equipment & Supplies
696,Optical Goods in Yangon,74,Equipment & Supplies
697,Orchids in Yangon,39,Garden
698,Overseas Employment Agencies in Yangon,39,Agency
699,Oxygen [Manu/Dist] in Yangon,20,Chemical
700,Packing/Filling & Wrapping Materials & Equipment in Yangon,74,Equipment & Supplies
701,Pagodas in Yangon,72,Religion
702,Paint & Varnish in Yangon,63,Equipment & Supplies
703,Painters in Yangon,6,Construction
704,Painting & Decorating Supplies in Yangon,69,Equipment & Supplies
705,Panelling in Yangon,39,Equipment & Supplies
706,Paper & Allied Products in Yangon,39,Equipment & Supplies
707,Paper Mills in Yangon,88,Equipment & Supplies
708,Paper Sales in Yangon,8,Equipment & Supplies
709,Papier-mí¢chí© in Yangon,24,Equipment & Supplies
710,Parquet Floorings in Yangon,24,Construction
711,Pawn Shops in Yangon,24,Equipment & Supplies
712,Pearls in Yangon,40,Jewellery
713,Perfumes & Body Sprays in Yangon,44,Cosmetic
714,Pest Control Services in Yangon,22,Service
715,Pet Accessories in Yangon,76,Miscellaneous
716,Pet Shops in Yangon,76,Miscellaneous
717,Petroleum Equipment in Yangon,76,Equipment & Supplies
718,Pharmaceutical Manufacturers in Yangon,8,Manufacturing
719,Pharmaceutical Suppliers in Yangon,93,Health & Medicine
720,Pharmacy Shops [Traditional] in Yangon,27,Health & Medicine
721,Phone Prepaid Card Suppliers in Yangon,25,Equipment & Supplies
722,Photo Studios & Labs in Yangon,39,Art
723,Photocopying & Duplicating Machines Sales & Repair in Yangon,8,Sales & Repair
724,Photocopying & Duplicating Services in Yangon,27,Service
725,Photographers in Yangon,8,Service
726,Photographic Equipment in Yangon,7,Equipment & Supplies
727,Photography & Films Schools in Yangon,63,Education
728,Pickle Tea Leaves & Assortments in Yangon,7,Food
729,Pilgrimage Tours in Yangon,63,Travel
730,Piling Equipment & Supply in Yangon,58,Equipment & Supplies
731,Piling Services in Yangon,22,Service
732,Pilot Training Schools in Yangon,88,Service
733,Pipes & Pumps Accessories in Yangon,22,Equipment & Supplies
734,Plaster & Plaster Board Supplies in Yangon,74,Equipment & Supplies
735,Plastic Chairs in Yangon,18,Equipment & Supplies
736,Plastic Covers & Coating Services in Yangon,8,Service
737,Plastic Machineries & Equipment in Yangon,42,Equipment & Supplies
738,Plastic Materials & Products in Yangon,17,Equipment & Supplies
739,Plastic Mould Services in Yangon,17,Service
740,Plastic Pipes in Yangon,17,Equipment & Supplies
741,Plastic Printings in Yangon,17,Service
742,Plastic Processing & Raw Materials in Yangon,17,Equipment & Supplies
743,Plastic Recycling in Yangon,17,Miscellaneous
744,Plastic Shopping Bags [Manu/Dist] in Yangon,17,Manufacturing
745,Plastic Signboard Makers in Yangon,17,Service
746,Platinum in Yangon,17,Jewellery
747,Plumbers & Pipe Fitting Services in Yangon,17,Service
748,Plywoods & Veneers in Yangon,17,Construction
749,Police Stations in Yangon,17,Government
750,Polish & Polishing Services in Yangon,17,Service
751,Polish Precious Stones in Yangon,17,Jewellery
752,Ports in Yangon,17,Marine
753,Post Offices in Yangon,17,Office
754,Poultry Distributors & Wholesalers in Yangon,17,Food
755,Poultry Farms in Yangon,17,Food
756,Poultry Feeds in Yangon,17,Food
757,Powdered Milk in Yangon,17,Food
758,Power Tools in Yangon,17,Equipment & Supplies
759,Pre-Schools in Yangon,17,Education
760,Press & Printers [Offset] in Yangon,17,Equipment & Supplies
761,Press/Offset & Printers Equipment & Accessories in Yangon,17,Equipment & Supplies
762,Printers & Accessories Sales & Services in Yangon,17,Equipment & Supplies
763,Promotional Products in Yangon,17,Media
764,Psychologist Clinics in Yangon,17,Health & Medicine
765,Pump Repair in Yangon,17,Sales & Repair
766,Pumps & Accessories in Yangon,17,Construction
767,PVC Window/Door & Ceiling Materials in Yangon,17,Construction
768,Racking Storage Systems in Yangon,17,Equipment & Supplies
769,Racquet Repair in Yangon,8,Sales & Repair
770,Radio Communication Equipment & Systems in Yangon,54,Telecommunication
771,Railway Spare Parts in Yangon,7,Equipment & Supplies
772,Rain Coats in Yangon,39,Utility
773,Rattan Goods in Yangon,39,Equipment & Supplies
774,Razor Blades in Yangon,22,Cosmetic
775,Real Estate Agents in Yangon,39,Agency
776,Reflexology in Yangon,8,Health & Medicine
777,Refrigerated Cargo Services in Yangon,39,Service
778,Refrigerating Equipment in Yangon,81,Equipment & Supplies
779,Refrigerators & Freezers Sales & Services in Yangon,8,Home
780,Regulators in Yangon,58,Equipment & Supplies
781,Research Organisations in Yangon,69,Organization
782,Restaurant Equipment & Supply in Yangon,24,Equipment & Supplies
783,Restaurants [African] in Yangon,39,Dining
784,Restaurants [American] in Yangon,81,Dining
785,Restaurants [Asian] in Yangon,16,Dining
786,Restaurants [Chinese] in Yangon,9,Dining
787,Restaurants [Continental] in Yangon,9,Dining
788,Restaurants [European] in Yangon,22,Dining
789,Restaurants [Filipino] in Yangon,8,Dining
790,Restaurants [French] in Yangon,39,Dining
791,Restaurants [German] in Yangon,77,Dining
792,Restaurants [Health Foods] in Yangon,77,Dining
793,Restaurants [Indian Chinese] in Yangon,77,Dining
794,Restaurants [Indian] in Yangon,8,Dining
795,Restaurants [Indonesian] in Yangon,65,Dining
796,Restaurants [International] in Yangon,65,Dining
797,Restaurants [Italian] in Yangon,69,Dining
798,Restaurants [Japanese] in Yangon,8,Dining
799,Restaurants [Korean] in Yangon,66,Dining
800,Restaurants [Latin American] in Yangon,55,Dining
801,Restaurants [Malaysian] in Yangon,55,Dining
802,Restaurants [Mediteranean] in Yangon,55,Dining
803,Restaurants [Mexican] in Yangon,15,Dining
804,Restaurants [Neplease] in Yangon,22,Dining
805,Restaurants [Portuguses] in Yangon,27,Dining
806,Restaurants [Ribs & Roasts] in Yangon,58,Dining
807,Restaurants [Sichuan] in Yangon,27,Dining
808,Restaurants [Singaporean] in Yangon,88,Dining
809,Restaurants [Spanish] in Yangon,88,Dining
810,Restaurants [Thai] in Yangon,95,Dining
811,Restaurants [Vegetarian] in Yangon,26,Dining
812,Restaurants [Vietnamese] in Yangon,26,Dining
813,Restaurants in Yangon,22,Dining
814,Rice Merchants in Yangon,76,Merchant
815,Rice Mill in Yangon,67,Equipment & Supplies
816,Rice Mill Machineries & Spare Parts in Yangon,22,Equipment & Supplies
817,Road Building Materials in Yangon,22,Equipment & Supplies
818,Roofing Materials in Yangon,12,Home
819,Ropes & Hawsers in Yangon,48,Equipment & Supplies
820,Rubber Bands & Balloons in Yangon,63,Equipment & Supplies
821,Rubber Products in Yangon,22,Equipment & Supplies
822,Rubber Stamp & Blocks in Yangon,63,Equipment & Supplies
823,Rubies in Yangon,39,Jewellery
824,Safe Dealers in Yangon,63,Equipment & Supplies
825,Safety & First Aid Training Centres in Yangon,63,Education
826,Safety/Road Traffic Safety Product/Sailor's Equipment in Yangon,58,Equipment & Supplies
827,Salt Suppliers in Yangon,47,Food
828,Sand Papers in Yangon,47,Equipment & Supplies
829,Sapphires in Yangon,94,Jewellery
830,Satellite Discs Installation & Services in Yangon,36,Service
831,Sauna Equipment & Accessories in Yangon,36,Equipment & Supplies
832,Saunas in Yangon,63,Beauty
833,Sawmills in Yangon,47,Equipment & Supplies
834,Scaffolding Dealers & Hires in Yangon,47,Equipment & Supplies
835,Scales & Weighing Equipment in Yangon,39,Equipment & Supplies
836,Schools [Basic Education] in Yangon,10,Education
837,Schools [Private] in Yangon,39,Education
838,Schools [Special Needs Children] in Yangon,73,Education
839,Scrap Metal Merchants in Yangon,24,Equipment & Supplies
840,Sculptors [Stonecarving] in Yangon,3,Home
841,Sculptors [Woodcarving] in Yangon,59,Home
842,Security Services in Yangon,59,Service
843,Security Systems & Equipment in Yangon,59,Equipment & Supplies
844,Seeds in Yangon,59,Agriculture
845,Sewing Machines & Accessories in Yangon,59,Equipment & Supplies
846,Sewing Machines Service & Repair in Yangon,53,Sales & Repair
847,Sewing Training Centres in Yangon,53,Education
848,Shampoos in Yangon,12,Cosmetic
849,Sharpening Services in Yangon,53,Service
850,Ship Builders & Repair in Yangon,60,Marine
851,Ship Crewing Agencies in Yangon,18,Agency
852,Ship Repairing Materials in Yangon,18,Sales & Repair
853,Shipping Agents in Yangon,54,Agency
854,Shipping Transportation Services in Yangon,42,Service
855,Shipyards in Yangon,85,Marine
856,Shoe Makers in Yangon,90,Manufacturing
857,Shoe Shops in Yangon,73,Apparel
858,Signboard Makers in Yangon,40,Service
859,Silk Screen Printing Inks & Accessories in Yangon,54,Equipment & Supplies
860,Silk Wear in Yangon,66,Apparel
861,Silversmiths in Yangon,28,Manufacturing
862,Silverwares in Yangon,28,Manufacturing
863,SIM Card Suppliers in Yangon,42,Telecommunication
864,Skate Courts in Yangon,18,Sport & Wellness
865,Skates & Equipment in Yangon,44,Equipment & Supplies
866,Slaughterhouses in Yangon,67,Service
867,Slipper Manufacturers in Yangon,31,Manufacturing
868,Slipper Raw Materials in Yangon,52,Equipment & Supplies
869,Slipper Shops in Yangon,9,Apparel
870,Slippers & Shoe Making Machines in Yangon,9,Equipment & Supplies
871,Small Loan Services in Yangon,59,Service
872,Snack Bars in Yangon,8,Dining
873,Snacks in Yangon,79,Food
874,Soap Cream & Oil in Yangon,79,Food
875,Soap Factories in Yangon,79,Cosmetic
876,Soaps in Yangon,16,Cosmetic
877,Sofa Shops in Yangon,6,Home
878,Soft Drink & Beverage Production Training Centres in Yangon,22,Education
879,Soft Drinks/Juices & Beverages in Yangon,39,Food
880,Soil Test Services in Yangon,22,Service
881,Solar Energy in Yangon,41,Equipment & Supplies
882,Solar Panels in Yangon,40,Equipment & Supplies
883,Sound Recording Studios in Yangon,44,Entertainment
884,Soya Bean Sauces [Manu/Dist] in Yangon,27,Food
885,Spices in Yangon,8,Food
886,Sports Clubs & Associations in Yangon,7, Sport & Wellness
887,Sports Goods Shops in Yangon,64,Sport & Wellness
888,Sports Grounds & Stadiums in Yangon,64,Sport & Wellness
889,Sports Training Centres in Yangon,58,Education
890,Sports Wears in Yangon,6,Apparel
891,Stainless Steel in Yangon,7,Equipment & Supplies
892,Stainless Steel Wares in Yangon,7,Home
893,Stationery in Yangon,22,Equipment & Supplies
894,Steel Pipes & Accessories in Yangon,73,Construction
895,Stickers in Yangon,74,Miscellaneous
896,Stock Share Service Companies in Yangon,63,Finance
897,Stock Share Tradings in Yangon,6,Finance
898,Stone Grinding Mills in Yangon,8,Equipment & Supplies
899,Storage Services in Yangon,39,Service
900,Stoves [Diesel/Charcoal/Electric] in Yangon,39,Home
901,Structural Engineers in Yangon,22,Service
902,Studio & Film Equipment Hires in Yangon,58,Media
903,Sugar & Sugar Cane Products in Yangon,55,Food
904,Sugar Mills in Yangon,74,Equipment & Supplies
905,Sunflower Seeds [Manu/Dist] in Yangon,15,Food
906,Supermarket Equipment in Yangon,37,Equipment & Supplies
907,Supermarkets & Shopping Centres in Yangon,74,Merchant
908,Supply Chain & Logistics Management Training Centres in Yangon,1,Education
909,Survey Companies in Yangon,1,Service
910,Surveying Instruments in Yangon,1,Equipment & Supplies
911,Sweater & Wool Shops in Yangon,1,Apparel
912,Swimming Classes in Yangon,1,Education
913,Swimming Pool Equipment Supplies in Yangon,1,Equipment & Supplies
914,Swimming Pool Maintenance Services in Yangon,1,Service
915,Swimming Pools in Yangon,1,Sport
916,Swing Shops in Yangon,1,Merchant
917,Systems Integrators in Yangon,1,Service
918,Tailors [Ladies] in Yangon,1,Apparel
919,Tailors [Men] in Yangon,63,Apparel
920,Tailors in Yangon,19,Apparel
921,Tapes in Yangon,22,Service
922,Tapestries in Yangon,69,Home
923,Tar in Yangon,69,Construction
924,Tattoo Removing Services in Yangon,22,Service
925,Tattooists in Yangon,42,Beauty
926,Taxi Services in Yangon,34,Service
927,Tea Centres in Yangon,34,Food
928,Telecommunication Suppliers & Equipment in Yangon,73,Telecommunication
