,category,Label,Category
1053,Wedding Door Gifts in Yangon,,Service
1054,Wedding Planners in Yangon,,Service
1055,Wedding Supplies & Services in Yangon,,Service
1056,Welding Equipment & Services in Yangon,,Service
1057,Well Drillers in Yangon,,Service
1058,Wheat [Manu/Dist] in Yangon,,Manufacturing
1059,Wheat Mills in Yangon,,Equipment & Supplies
1060,Wigs in Yangon,,Beauty
1061,Window Cleaning Services in Yangon,,Service
1062,Wine [Manu/Dist] in Yangon,,Manufacturing
1063,Wiring & Foiling Services in Yangon,,Service
1064,Women Sanitary Wares in Yangon,,Manufacturing
1065,Wood Industries in Yangon,,Manufacturing
1066,Wooden Machineries & Accessories in Yangon,,Equipment & Supplies
1067,Wooden Products & Hardwood Shops in Yangon,,Equipment & Supplies
1068,Wool Products in Yangon,,Equipment & Supplies
1069,X-ray & Ultrasound Clinics in Yangon,,Health & Medicine
1070,Yarn in Yangon,,Apparel
1071,Yoga Training Centres in Yangon,,Sport & Wellness
1072,Yogurt in Yangon,,Food
1073,Zippers in Yangon,,Apparel
1074,Zoological & Botanical Gardens in Yangon,,Garden
