name,street,contact,state,township,Category
"Hein Myanmar Co.,Ltd.","167, Set Hmu 3rd St., Myittar Nyunt Ward,"," 01540214, 095101167, 018604324, 095101168",Yangon Region,Tarmwe,Service
"Golden Five Trading Co.,Ltd.","3rd Flr, Thiri Mingalar Old Market,"," 01212355, 01212202",Yangon Region,Kyeemyin Daing,Service
"Dream Media Trade Co.,Ltd.","1/Nagyi, Pan Yite St., (Nga/Ka) Ward,"," 09960798188, 09784567666, 09964567999",Yangon Region,Thingangyun,Service
"Min Tun Trading Co.,Ltd.","3/22, Strand Rd., River View Garden Housing,"," 01211456, 09794663832, 09794663833",Yangon Region,Ahlone,Service
"Myanma Traditional Mfg Co.,Ltd. [MTM]","276, Strand Rd.,"," 01370803, 095043867, 095105479, 098630624, 019010288",Yangon Region,Pabedan,Service
"Aung Gabar Co.,Ltd.","Bldg O, Rm 2/3/4/5, Thiri Yadanar Retail/Wholesale Market,"," 01684342, 01701513",Yangon Region,North Okkalapa ,Service
"Rain Power [Hong Kong Family Trading Co.,Ltd.]","283, 40th St., Upper Block,"," 01392227, 01245540, 095116410, 0931588157, 09795266068",Yangon Region,Kyauktada,Service
"Access Spectrum Co.,Ltd.","364/366, Maha Bandoola Garden St., Upper Block,"," 01386567, 01376448, 01380900",Yangon Region,Kyauktada,Service
Fujifilm Myanmar Ltd.,"Rm 02/11, 2nd Flr, Nat Mauk St., Union Business Center, Bo Cho Ward (1),"," 018603468, 09254272977",Yangon Region,Bahan,Service
Chaw Int'l Ltd.,"121, 5th Flr, Sule Pagoda Rd., Upper Middle Block,"," 095016158, 01240061, 093117926, 01252529, 01245375",Yangon Region,Kyauktada,Service
"Eboo Family Trading Co.,Ltd.","619, Maha Bandoola Rd.,"," 01245973, 01377112, 01253988, 01379337, 095145671",Yangon Region,Latha,Service
"Greenery Co.,Ltd.","225/227,Rm 901,9th Flr,Bo Aung Kyaw St.,Olympic Tower"," 01384966, 01385633, 01254164",Yangon Region,Kyauktada,Service
"Star Universe Co.,Ltd.","58/B, Pearl St., Myanma Gonyaung Housing,"," 01430013, 01430897, 01549193, 01553918, 0973056015",Yangon Region,Tarmwe,Service
"Royal Smart Trading Co.,Ltd.","174, 36th St., Upper Middle Block,"," 01379835, 01379564, 01371262, 09253679707",Yangon Region,Kyauktada,Service
"Aung Myanmar Technology Co.,Ltd.","577/A, Pyay Rd., Ward (2),"," 01511049, 095082069, 098626059, 0973112181",Yangon Region,Kamayut,Service
"Inter Conmat Co.,Ltd. [VSV Int'l Co.,Ltd.]","42 Shed, Rm 5/6/7/8/9/10, Kyauk Sein 3rd St., Sawbwargyi Gone Warehouses,"," 01642421, 01643941, 01644453, 09250715881",Yangon Region,Insein,Service
"Myanmar's 1st Vineyard Estate Co.,Ltd.","39/H/1, Myintzu St., Ward (9),"," 01651141, 01664756",Yangon Region,Mayangone,Service
"Apex Gourmet Co.,Ltd.","5, Pyay Rd., Ward (11),"," 09781503645, 09773129251",Yangon Region,Hlaing,Service
"Kekelit Innovative Pipe System Co.,Ltd.","360, Rm 4, Pyay Rd., Myae Ni Gone (North) Ward,"," 012305834, 0973110884",Yangon Region,Sanchaung,Service
"Asia Win Co.,Ltd.","30, Hlay Thin Ah Twin Wun U Chein St., Industrial Zone,"," 09262229971, 09420053047",Yangon Region,Dagon Seikkan,Service
"Grand Stand Co.,Ltd.","261,2nd Flr,Bo Myat Tun St.,Upper Block",,Yangon Region,Botahtaung,Service
"Zaw Myo Htet Co.,Ltd.","18, Gandamar 3rd St., Yuzana Mingalar City Housing,"," 01296228, 0973242467",Yangon Region,Mingalar Taung Nyunt,Service
"Myanmar Thailand Int'l Co.,Ltd.","47, Bldg 26/3, Rm 003, Lay Daunt Kan Rd., (Sa-Lone/Thu Mingalar) Ward,"," 095172019, 09797782510, 018564416, 09254723698",Yangon Region,Thingangyun,Service
"Medi Power Co.,Ltd.","Bldg 10, Rm 018/019, 7th Flr, Hnin Si St., Yuzana Mingalar City Housing,"," 01206181, 01206182, 01299194, 01294785, 01298944",Yangon Region,Mingalar Taung Nyunt,Service
"Aung Sein Lin Co.,Ltd.","85, Yauk Kaw St., Industrial Zone (1),", 09254224299,Yangon Region,South Dagon,Service
"Beautiful Wood Industry Co.,Ltd.","187/A, Min Gyi Maha Min Khaung St., Industrial Zone,"," 095163239, 09787233593, 01707544, 01592298, 01592204, 01298771",Yangon Region,Dagon Seikkan,Service
"Global Wood Graft Int'l Co.,Ltd.","164, Set Hmu 1st St., Industrial Zone (1),", 01610226,Yangon Region,Shwe Pyi Thar,Service
Diamond Marcury Wood Product Ltd.,"98/42,Set Hmu 6th St.,Industrial Zone (1)"," 01612586, 01614049, 01661342, 01664216",Yangon Region,Shwe Pyi Thar,Service
"Great Master Co.,Ltd. [GMC]","20, Pyin Si Min Thar Gyi St., Industrial Zone,"," 01592196, 09252604032",Yangon Region,Dagon Seikkan,Service
"Hein Soe Co.,Ltd.","64/54, Pade Wun U Shwe Bin St., Industrial Zone (3),"," 01618101, 01618775",Yangon Region,Shwe Pyi Thar,Service
"Hay Man Trading Co.,Ltd.","11/12, U Shwe Ohe Lane (1), Industrial Zone (2),"," 01510056, 01684717, 01687913",Yangon Region,Hlaing Thar Yar,Service
"Fudak Enterprise Co.,Ltd.","120/121, De Pe` Yinn Wun Htauk U Mye` St., Industrial Zone (2),", 01684782,Yangon Region,Hlaing Thar Yar,Service
"Lay Pyay Nyin Trading Co.,Ltd.","168, Set Hmu 1st St., Industrial Zone (1),"," 01610396, 095012005",Yangon Region,Shwe Pyi Thar,Service
"KMI Co.,Ltd.","185, Pade Wun U Shwe Bin St., Industrial Zone,"," 095162892, 09785162891",Yangon Region,East Dagon,Service
Kaung Myat Group of Companies,"131/132, Pade Wun U Shwe Bin St., Industrial Zone,"," 012585105, 09799199199 [Hot Line], 012585237, 095019670, 095012152, 095174411",Yangon Region,East Dagon,Service
"Kaung Myat Co.,Ltd.","131/132, Pade Wun U Shwe Bin St., Industrial Zone,"," 012585105, 09799199199 [Hot Line], 012585237, 095019670, 095012152, 095174411",Yangon Region,East Dagon,Service
"Htoo Trading Co.,Ltd. [Htoo Wood Products Pte Ltd.]","5, Pyay Rd., Ward (10),"," 01500344, 01500355, 01501848, 01501558",Yangon Region,Hlaing,Service
"N.W.S Co.,Ltd.","55/3,Daw Phwar Shin St.,Industrial Zone"," 012585225, 0949206895, 0949590707",Yangon Region,East Dagon,Service
New Brothers Ltd. [NBL],"42/302/A, Set Hmu 1st St., Industrial Zone (1),"," 01610603, 01610610, 01612569",Yangon Region,Shwe Pyi Thar,Service
"Myanmar Technologies Industry Co.,Ltd.","50, Yaw Ah Twin Wun U Pho Hlaing St., Industrial Zone (2),", 01592175,Yangon Region,Dagon Seikkan,Service
"Mogoke Pride Trading Co.,Ltd. [Lumber Jack]","24/A/B, Hlay Thin Ah Twin Wun U Chein St., Industrial Zone,"," 095173758, 01592102",Yangon Region,Dagon Seikkan,Service
National Wood Industry Ltd.,"111~113, Pade Wun U Shwe Bin St., Industrial Zone,"," 012585203, 012585204",Yangon Region,East Dagon,Service
"Minn Wun Industries Co.,Ltd.","21, Yaw Ah Twin Wun U Pho Hlaing St., Industrial Zone,"," 01592081, 09251013335",Yangon Region,Dagon Seikkan,Service
"Myanmar Technology Co.,Ltd.","8/L, Min Dhama Rd., Ward (3),"," 019669600~2, 01655770",Yangon Region,Mayangone,Service
MAK [Myanmar] Plywood Industry Private Ltd.,"15, Thu Khi Tar St., Industrial Zone,"," 09428177461, 01593769",Yangon Region,Dagon Seikkan,Service
"Lin Win Co.,Ltd.","86, Yauk Kaw St., Industrial Zone (1),", 09254224299,Yangon Region,South Dagon,Service
"Sann May Trading Co.,Ltd.","118, Ayeyar St., Industrial Zone (5),"," 01688063, 01688273, 01688318",Yangon Region,Hlaing Thar Yar,Service
"Royal Kyi Kyi Co.,Ltd.","27/B, Twin Thin Tike Wun U Tun Nyo St., Industrial Zone,", 09798422689,Yangon Region,East Dagon,Service
"Shwe Wood Industries Co.,Ltd.","163, Min Gyi Maha Min Khaung St., Industrial Zone,"," 0973206772 [Office], 0936677277 [Foctory], 09963384136 [Foctory]",Yangon Region,Dagon Seikkan,Service
"Praise Int'l Mining Co.,Ltd. [PIM]","121,Twin Thin Tike Wun U Tun Nyo St.,Industrial Zone"," 09799659077, 09799659099",Yangon Region,East Dagon,Service
"United Wood Industries Co.,Ltd.","123/125,Shwe Yin Aye 2nd St.,Industrial Zone (5)"," 095109321, 01688201, 01688202, 01688203, 01688405",Yangon Region,Hlaing Thar Yar,Service
"Zabu Yadanar Co.,Ltd.","521, Mogoke St., Industrial Zone (1),"," 012348241, 095107830, 01591336, 095107832",Yangon Region,South Dagon,Service
TKK Int'l Ltd.,"25/A/B, Hlay Thin Ah Twin Wun U Chein St., Industrial Zone,"," 01592306, 0973184160",Yangon Region,Dagon Seikkan,Service
Win Enterprise Ltd.,"66, Hlay Thin Ah Twin Wun U Chein St., Industrial Zone (2),"," 095111436, 01684662, 01684784",Yangon Region,Hlaing Thar Yar,Service
