contact,name,township,street,state,Category
" 01378480, 095127790, 0973066440, 0973225388","Yoma Nadi Co.,Ltd.",Mingalar Taung Nyunt,"109, 93th St., Kan Daw Kalay (East) Ward,",Yangon Region,Construction
" 018604609, 018604610, 018604611",Lat War Group of Companies,Tarmwe,"51/A, 2nd Flr, East Race Course Rd., Corner of Lay Daunt Kan Rd.,Tarmway Gyee (Kha) Ward,",Yangon Region,Construction
" 01666183, 01663578, 01660361, 01661605, 01650535, 01685136, 01685159, 0973154424","Chin Su [Myanmar] Co.,Ltd.",Mayangone,"Rm 303/304, 3rd Flr, Pyay Rd., Yadanar Housing,",Yangon Region,Construction
" 09976504518, 09250664551, 09260559726","Xim Jin Qiao Co.,Ltd. [Jin Qiao]",North Okkalapa ,"Bldg N, Rm 35, Thiri Yadanar Retail/Wholesale Market,",Yangon Region,Construction
" 09795716023, 09791720520, 01552132, 0943095711","Delta Six Engineering Co.,Ltd.",Tarmwe,"11, Rm 4/B, 4th Flr, Tha Htay St., Ma Hlwa Gone Htay Kywe Ward,",Yangon Region,Construction
" 09451105900, 09451105901","Kyaw Than Zay Co.,Ltd.",Hlaing,"37, U Aye Lane (1), Ward (16),",Yangon Region,Construction
" 01572024, 0973141581, 095119301","Htet UK Group Co.,Ltd.",South Okkalapa ,"124/2, Than Thu Mar Rd., Corner of Shooting Range St., Ward (14/3),",Yangon Region,Construction
" 0973072888, 0930358155, 095159277","Myanmar Zenith One Star Co.,Ltd.",Bahan,"65,Old Yae Tar Shae Rd.,Shwe Nanthar Ward",Yangon Region,Construction
 01430067,"Myanmar Padauk Engineering & Construction Co.,Ltd. [MP]",Tarmwe,"50/B, Pearl St., Myanma Gonyaung Housing,",Yangon Region,Construction
" 018564366, 095111637, 095032203, 011222919","Multi Techno Power Engineering Co.,Ltd.",Yankin,"66, Bldg 4, Rm 1, Moe Kaung Rd., Ward (13),",Yangon Region,Construction
" 01650159, 095411253, 0930110769","Trust & Honesty Int'l Co.,Ltd.",Mayangone,"133/D, Mawyawaddy St., 8 Mile, Ward (5),",Yangon Region,Construction
" 01299375, 019000450, 019000287","Shwe Nay Wun Construction Co.,Ltd.",Pazundaung,"57, Wut Kyaung St.,",Yangon Region,Construction
" 0973166853, 09252546017~19, 095012657, 0973005761","City Press Pile Construction Co.,Ltd.",Sanchaung,"38/40, G Flr, Ta Yoke Kyaung St., Than Tadar Ward,",Yangon Region,Construction
" 095120968, 01392236","M & C Engineering And Construction Co.,Ltd.",East Dagon,"34, Pyin Si Min Thar Gyi St., Industrial Zone,",Yangon Region,Construction
" 01530488, 095016753, 09775016753","Dolphin Ayeyarwady Construction Co.,Ltd.",Hlaing,"19,Rm 201,2nd Flr,Ngu War St.,Aye Yeik Mon Housing,Ward (5)",Yangon Region,Construction
" 01389374, 01389378, 095168250, 01389620","De Pa Wady Co.,Ltd.",Mingalar Taung Nyunt,"Bldg M/1, Rm 402, 4th Flr, Upper Pansoedan Rd., Kan Taw Gyi Housing,",Yangon Region,Construction
" 09252546020, 09252546025","City Press Pile Construction Co.,Ltd.",East Dagon,"18, U Aung Zeya St., Industrial Zone,",Yangon Region,Construction
,"Pyi Taw Hein Bored Piling & Construction Co.,Ltd.",Bahan,"69,Rm 1004/1005,10th Flr,Shwe Gon Daing Rd.,Yuzana Tower",Yangon Region,Construction
